# t	x	v	s	E_total
0	0.25	0	0	0.3125
0.001	0.250018	0.0164349	0	0.312679
0.002	0.250036	0.0166948	0	0.312728
0.003	0.250059	0.0224603	0	0.312901
0.004	0.250063	0.00230198	0	0.31266
0.005	0.250056	-0.00795132	0	0.312672
0.006	0.250045	-0.0124686	0	0.31269
0.007	0.250048	0.00212551	0	0.312623
0.008	0.250043	-0.00691143	0	0.312631
0.009	0.250049	0.00468343	0	0.312633
0.01	0.250042	-0.0077696	0	0.312635
0.011	0.250044	0.00109594	0	0.312612
0.012	0.250048	0.00184899	0	0.312621
0.013	0.250041	-0.00789382	0	0.312633
0.014	0.250028	-0.0141839	0	0.312671
0.015	0.250028	-0.00118557	0	0.312571
0.016	0.25003	0.000596365	0	0.312575
0.017	0.250044	0.0124661	0	0.312687
0.018	0.250052	0.00705807	0	0.312655
0.019	0.250062	0.00874147	0	0.312693
0.02	0.250051	-0.0125766	0	0.312706
0.021	0.250065	0.0129308	0	0.312746
0.022	0.250068	0.00199697	0	0.312672
0.023	0.250094	0.0243751	0	0.313031
0.024	0.250115	0.0202995	0	0.312994
0.025	0.250147	0.0304328	0	0.31333
0.026	0.250169	0.0207096	0	0.313137
0.027	0.250203	0.0325373	0	0.313536
0.028	0.250203	-0.0011824	0	0.313008
0.029	0.250202	-0.00198235	0	0.313007
0.03	0.250172	-0.0314765	0	0.313425
0.031	0.250152	-0.020524	0	0.313092
0.032	0.250141	-0.0123195	0	0.312929
0.033	0.250122	-0.0203331	0	0.313013
0.034	0.250089	-0.0343832	0	0.313314
0.035	0.25004	-0.0503731	0	0.313869
0.036	0.249988	-0.0536293	0	0.313907
0.037	0.249911	-0.0778825	0	0.31531
0.038	0.249838	-0.074234	0	0.314851
0.039	0.249778	-0.0613643	0	0.313828
0.04	0.249719	-0.0598633	0	0.31359
0.041	0.249669	-0.0520545	0	0.313027
0.042	0.249602	-0.0680039	0	0.313817
0.043	0.249532	-0.0708338	0	0.31384
0.044	0.249448	-0.0853544	0	0.314764
0.045	0.249352	-0.0973344	0	0.315619
0.046	0.249256	-0.0968765	0	0.315336
0.047	0.249177	-0.0810626	0	0.31373
0.048	0.2491	-0.0779078	0	0.313289
0.049	0.249026	-0.0752543	0	0.312901
0.05	0.248965	-0.0617179	0	0.311823
0.051	0.248929	-0.0374971	0	0.310532
0.052	0.248904	-0.0261509	0	0.310108
0.053	0.248859	-0.0464087	0	0.310731
0.054	0.248808	-0.0521139	0	0.310885
0.055	0.248753	-0.0568366	0	0.311004
0.056	0.248679	-0.0749749	0	0.312016
0.057	0.248602	-0.077872	0	0.312047
0.058	0.248507	-0.0961457	0	0.313401
0.059	0.248415	-0.0935198	0	0.312923
0.06	0.248339	-0.0775423	0	0.311367
0.061	0.248258	-0.0820105	0	0.311523
0.062	0.248176	-0.0834823	0	0.311441
0.063	0.248081	-0.0961533	0	0.312343
0.064	0.247986	-0.0956444	0	0.31206
0.065	0.247899	-0.0887035	0	0.311204
0.066	0.247793	-0.106943	0	0.312726
0.067	0.247707	-0.0874791	0	0.31062
0.068	0.247636	-0.0721351	0	0.30922
0.069	0.247539	-0.0988307	0	0.31126
0.07	0.247437	-0.102342	0	0.311363
0.071	0.247353	-0.0856077	0	0.309582
0.072	0.247276	-0.0787542	0	0.308827
0.073	0.247201	-0.0753617	0	0.308382
0.074	0.247107	-0.0955817	0	0.309877
0.075	0.247034	-0.0746547	0	0.307915
0.076	0.246978	-0.0563771	0	0.306581
0.077	0.24691	-0.0697973	0	0.307258
0.078	0.246841	-0.0701161	0	0.307111
0.079	0.246776	-0.0667803	0	0.306721
0.08	0.246679	-0.0981103	0	0.309065
0.081	0.246581	-0.098701	0	0.308882
0.082	0.246481	-0.101411	0	0.308907
0.083	0.246401	-0.0815333	0	0.30689
0.084	0.246311	-0.0904854	0	0.30744
0.085	0.246215	-0.0979495	0	0.307905
0.086	0.246143	-0.0725583	0	0.305565
0.087	0.246065	-0.079218	0	0.305879
0.088	0.245989	-0.0776914	0	0.305571
0.089	0.245904	-0.086611	0	0.306094
0.09	0.245804	-0.100896	0	0.307188
0.091	0.2457	-0.105344	0	0.307391
0.092	0.245599	-0.102063	0	0.306803
0.093	0.245496	-0.104259	0	0.306776
0.094	0.245377	-0.120206	0	0.308274
0.095	0.245258	-0.120347	0	0.307999
0.096	0.245123	-0.136259	0	0.309709
0.097	0.244991	-0.13268	0	0.308906
0.098	0.244844	-0.148475	0	0.310765
0.099	0.244712	-0.132942	0	0.308257
0.1	0.244605	-0.108788	0	0.305075
0.101	0.24449	-0.116412	0	0.305652
0.102	0.244385	-0.106066	0	0.304244
0.103	0.244301	-0.0854464	0	0.302064
0.104	0.244211	-0.0903363	0	0.302276
0.105	0.244118	-0.0948549	0	0.302466
0.106	0.244016	-0.102719	0	0.302995
0.107	0.243892	-0.125507	0	0.305293
0.108	0.243781	-0.112049	0	0.303424
0.109	0.243677	-0.10498	0	0.302404
0.11	0.243554	-0.124477	0	0.30434
0.111	0.243414	-0.141138	0	0.306212
0.112	0.243285	-0.130276	0	0.304424
0.113	0.243166	-0.119952	0	0.302844
0.114	0.243061	-0.106602	0	0.301075
0.115	0.242941	-0.12117	0	0.302443
0.116	0.242794	-0.148282	0	0.305738
0.117	0.242666	-0.129617	0	0.302833
0.118	0.242536	-0.130455	0	0.302629
0.119	0.242438	-0.10001	0	0.298881
0.12	0.242341	-0.0977529	0	0.298424
0.121	0.24223	-0.112472	0	0.299701
0.122	0.242103	-0.127826	0	0.301239
0.123	0.241989	-0.115757	0	0.299492
0.124	0.241886	-0.103444	0	0.297895
0.125	0.241761	-0.126522	0	0.300246
0.126	0.241612	-0.150117	0	0.30315
0.127	0.241466	-0.147396	0	0.302392
0.128	0.241337	-0.129749	0	0.299636
0.129	0.241212	-0.126872	0	0.298964
0.13	0.241077	-0.136092	0	0.299851
0.131	0.240954	-0.124045	0	0.297988
0.132	0.240864	-0.0907584	0	0.294197
0.133	0.240767	-0.0991393	0	0.294757
0.134	0.240668	-0.0999994	0	0.294605
0.135	0.240569	-0.0997559	0	0.294343
0.136	0.240466	-0.104189	0	0.294548
0.137	0.240343	-0.124741	0	0.296603
0.138	0.24019	-0.154009	0	0.300315
0.139	0.240037	-0.153694	0	0.299901
0.14	0.239872	-0.16619	0	0.301503
0.141	0.239713	-0.160474	0	0.300188
0.142	0.239545	-0.169547	0	0.301281
0.143	0.239361	-0.184643	0	0.303516
0.144	0.239194	-0.168808	0	0.300316
0.145	0.239021	-0.173623	0	0.300728
0.146	0.238836	-0.185939	0	0.302501
0.147	0.238648	-0.189483	0	0.302717
0.148	0.238459	-0.190407	0	0.302441
0.149	0.238263	-0.197027	0	0.303257
0.15	0.238081	-0.183201	0	0.300194
0.151	0.237911	-0.171743	0	0.297755
0.152	0.237725	-0.18633	0	0.299926
0.153	0.237527	-0.199477	0	0.301991
0.154	0.237335	-0.193692	0	0.300397
0.155	0.237146	-0.189766	0	0.299197
0.156	0.236944	-0.203608	0	0.30144
0.157	0.236731	-0.213339	0	0.302966
0.158	0.236533	-0.199612	0	0.299662
0.159	0.236338	-0.19602	0	0.298491
0.16	0.236155	-0.184443	0	0.295855
0.161	0.235951	-0.204919	0	0.299361
0.162	0.235767	-0.185758	0	0.295183
0.163	0.235581	-0.187099	0	0.294994
0.164	0.235419	-0.163154	0	0.29042
0.165	0.235244	-0.176039	0	0.292193
0.166	0.235081	-0.164434	0	0.289834
0.167	0.234926	-0.155798	0	0.288088
0.168	0.234779	-0.148634	0	0.286651
0.169	0.234643	-0.136669	0	0.284626
0.17	0.234516	-0.128472	0	0.283241
0.171	0.234393	-0.123721	0	0.282354
0.172	0.234253	-0.141187	0	0.28434
0.173	0.234106	-0.148	0	0.284981
0.174	0.233945	-0.162322	0	0.286826
0.175	0.233785	-0.160994	0	0.286238
0.176	0.233619	-0.167368	0	0.286896
0.177	0.233446	-0.174636	0	0.287733
0.178	0.233275	-0.172088	0	0.286893
0.179	0.233098	-0.177969	0	0.28751
0.18	0.232903	-0.196092	0	0.290445
0.181	0.232707	-0.197554	0	0.290276
0.182	0.232513	-0.194452	0	0.289218
0.183	0.232325	-0.189238	0	0.287781
0.184	0.232124	-0.202921	0	0.289995
0.185	0.231927	-0.197961	0	0.288544
0.186	0.231728	-0.20024	0	0.288537
0.187	0.231533	-0.195419	0	0.287133
0.188	0.231368	-0.166301	0	0.281484
0.189	0.23118	-0.189348	0	0.285147
0.19	0.231012	-0.169263	0	0.281158
0.191	0.230833	-0.180002	0	0.28262
0.192	0.23063	-0.20378	0	0.286715
0.193	0.230434	-0.198107	0	0.285121
0.194	0.230261	-0.173281	0	0.280115
0.195	0.230077	-0.185145	0	0.281817
0.196	0.229889	-0.189867	0	0.282269
0.197	0.229686	-0.204241	0	0.284635
0.198	0.229504	-0.18229	0	0.279976
0.199	0.229324	-0.181279	0	0.279379
0.2	0.229136	-0.189932	0	0.280552
0.201	0.228951	-0.185306	0	0.279263
0.202	0.228743	-0.209857	0	0.283636
0.203	0.228512	-0.231897	0	0.287977
0.204	0.228298	-0.215539	0	0.283827
0.205	0.228084	-0.214415	0	0.283099
0.206	0.227896	-0.188973	0	0.277539
0.207	0.227695	-0.202262	0	0.279681
0.208	0.22748	-0.216365	0	0.282143
0.209	0.227275	-0.206493	0	0.279588
0.21	0.227054	-0.222063	0	0.282423
0.211	0.226838	-0.21647	0	0.280708
